"Y","E1","E2","E3","E4","G1","G2","G3","G4","G5","G6","G7","G8","G9","G10","G11","G12","G13","G14","G15","G16","G17","G18","G19","G20"
10.0019016504521,6.16310486104339,8.73652722220868,8.43546756659634,9.54679492278956,0,0,1,0,0,1,1,0,1,0,0,1,1,1,1,1,1,0,1,0
9.76200798675989,7.49708682997152,6.01014142856002,7.34753475873731,8.49084644229151,0,0,1,0,1,0,1,1,1,0,1,1,1,1,0,1,1,0,0,0
9.2190106907835,7.95402497169562,7.2697238298133,5.81005729036406,8.50714097730815,1,1,0,1,1,0,0,1,1,0,1,0,1,1,1,1,0,1,0,1
9.11138942996165,6.88564043026417,9.55997516168281,6.67267620330676,6.68309471220709,1,0,0,1,1,0,1,1,1,1,0,0,1,1,1,1,1,1,0,1
9.20129706387413,7.46165683493018,5.4298478923738,5.28366310056299,5.00046581495553,1,1,1,1,1,1,0,0,1,1,1,1,1,1,0,0,0,1,0,0
9.89227546363736,5.60862498241477,6.23740653623827,6.59620111109689,6.61353867966682,0,1,0,0,1,1,1,1,1,1,1,1,0,0,0,1,0,1,1,1
9.95539559919291,5.34394907415845,6.20933803496882,7.85336453700438,9.04726170701906,0,0,1,1,1,1,1,1,1,0,1,1,1,0,1,0,1,0,0,1
9.46054696898947,8.28305836883374,5.97317205742002,5.95671788440086,9.3530100339558,1,1,0,1,0,1,1,1,1,1,1,1,1,1,1,0,1,1,0,1
9.71520413288813,5.25791982887313,9.4949222181458,7.1125231962651,8.20677471230738,1,0,1,1,1,0,1,0,0,0,1,1,1,1,0,1,1,0,1,0
11.5804629085419,8.19902032031678,5.33835827955045,9.44543236400932,7.96140746329911,0,0,1,1,1,1,1,0,1,0,1,0,1,0,1,1,1,0,1,0
9.47405160511904,6.66562300524674,9.78094350313768,6.91964259603992,9.92909599328414,1,1,0,0,1,1,1,1,1,1,0,1,1,1,1,0,1,0,1,1
10.731391179085,6.49544153246097,9.35535542899743,6.2854595168028,9.83347446424887,0,0,0,1,1,1,1,1,0,1,0,1,1,1,1,1,1,0,1,1
9.02004047726496,5.596189602511,8.96173139917664,6.05853217886761,5.75975883635692,1,1,0,1,0,1,1,1,1,1,1,1,1,0,1,1,1,0,0,1
10.7826292776152,8.00913561834022,8.82137362845242,5.38765847100876,7.7412990515586,1,1,1,1,0,0,0,1,0,1,1,1,0,1,1,1,0,0,1,1
10.0191461082418,7.43382390006445,5.31830132938921,7.08476334810257,9.64955336414278,1,1,1,1,1,0,1,1,1,1,0,0,0,1,0,0,1,1,1,1
10.8420565490703,5.50549186882563,8.14706793869846,9.57478902768344,7.83639446366578,0,0,1,1,0,0,1,1,0,1,0,1,1,1,1,0,1,1,0,1
10.0493687991097,5.41123741888441,7.2137273196131,8.14408721285872,6.00938066840172,1,0,0,1,1,0,0,1,0,1,1,1,0,1,0,1,1,0,0,1
10.7698933774731,6.39880422269925,8.76286210841499,8.7203784682788,9.40705784130841,1,1,0,1,1,0,0,0,1,0,1,1,1,1,1,1,1,0,1,0
11.0652738869771,9.46820919052698,9.99258671188727,7.97322705970146,9.14316694252193,0,1,0,0,1,0,1,0,1,1,1,0,1,0,1,1,0,0,0,1
11.1312753030196,5.04817707231268,7.7354060811922,9.60471743135713,8.22629155707546,0,1,0,0,1,0,0,1,0,0,1,0,1,1,1,1,0,1,0,1
11.4466436708402,9.37005848041736,5.36108088912442,7.13176717748865,7.46032206341624,1,1,0,0,1,1,1,1,1,0,1,1,0,0,0,0,1,0,1,0
9.63740758021246,8.56950909714215,5.51403204677626,6.3045215269085,8.36281201220118,1,1,1,1,0,0,1,0,1,0,0,0,0,1,1,1,0,1,0,0
11.0469484108317,7.49400459462777,8.25029788422398,9.3176783178933,6.75900533795357,0,1,0,1,1,0,0,0,0,0,1,0,1,1,1,0,1,0,1,1
11.2588276544428,8.36540599120781,7.9542774904985,7.65834905789234,6.14764435915276,1,1,1,1,0,0,1,0,0,1,0,1,1,0,1,0,1,0,1,0
11.0753297850617,8.5858231340535,5.81588663510047,9.42214108887129,6.91322977654636,0,0,1,1,1,0,0,0,1,1,1,0,0,0,1,0,1,0,1,1
11.4433208790661,9.01179532636888,6.33197275456041,8.79404066479765,5.61843570205383,1,0,1,1,1,0,0,1,1,1,1,1,0,1,1,0,1,0,1,1
10.1714099799599,6.23802552232519,6.68095858301967,6.86420547426678,6.87273253570311,0,0,0,0,0,0,1,1,1,1,0,1,0,0,0,1,1,0,1,1
11.4682060498638,6.33533350308426,7.16319511295296,9.87941108760424,6.39605731586926,0,1,1,0,1,1,0,0,1,0,0,0,1,0,1,1,1,0,0,0
